"","region","item_name","item_code","unit_name","Otherunit","unit_code","factor","source"
"1","1","MAIZE UFA MGAIWA (NORMAL FLOUR)","101","OTHER (SPECIFY)","BASIN","23",3.400000095,4
"2","2","MAIZE UFA MGAIWA (NORMAL FLOUR)","101","OTHER (SPECIFY)","BASIN","23",3.400000095,4
"3","3","MAIZE UFA MGAIWA (NORMAL FLOUR)","101","OTHER (SPECIFY)","BASIN","23",3.400000095,4
"4","3","MAIZE UFA MGAIWA (NORMAL FLOUR)","101","OTHER (SPECIFY)","CUP","23",0.444999993,1
"5","3","MAIZE UFA MGAIWA (NORMAL FLOUR)","101","OTHER (SPECIFY)","3LITRE BUCKET","23",2.328000069,2
"6","1","MAIZE UFA REFINED (FINE FLOUR)","102","OTHER (SPECIFY)","BASIN","23",3.404999971,4
"7","2","MAIZE UFA REFINED (FINE FLOUR)","102","OTHER (SPECIFY)","BASIN","23",3.404999971,4
"8","3","MAIZE UFA REFINED (FINE FLOUR)","102","OTHER (SPECIFY)","PIECE","23",0.129999995,1
"9","3","MAIZE UFA REFINED (FINE FLOUR)","102","OTHER (SPECIFY)","CUP","23",0.49000001,1
"10","3","MAIZE UFA REFINED (FINE FLOUR)","102","OTHER (SPECIFY)","BASIN","23",3.404999971,4
"11","1","MAIZE UFA PROCESSED MADEYA (BRAN FLOUR - PROCESSED)","103","OTHER (SPECIFY)","PAIL (SMALL)","23",2.285000086,2
"12","1","MAIZE GRAIN (NOT AS UFA)","104","OTHER (SPECIFY)","PIECE","23",0.129999995,2
"13","2","MAIZE GRAIN (NOT AS UFA)","104","OTHER (SPECIFY)","COB","23",0.129999995,1
"14","2","MAIZE GRAIN (NOT AS UFA)","104","OTHER (SPECIFY)","CUP","23",0.469999999,1
"15","2","MAIZE GRAIN (NOT AS UFA)","104","OTHER (SPECIFY)","PIECE","23",0.129999995,2
"16","3","MAIZE GRAIN (NOT AS UFA)","104","OTHER (SPECIFY)","PIECE","23",0.129999995,2
"17","3","MAIZE GRAIN (NOT AS UFA)","104","OTHER (SPECIFY)","CUP","23",0.469999999,1
"18","3","MAIZE GRAIN (NOT AS UFA)","104","OTHER (SPECIFY)","COB","23",0.129999995,1
"19","1","RICE","106","OTHER (SPECIFY)","BASIN","23",3.460000038,1
"20","2","RICE","106","OTHER (SPECIFY)","CUP","23",0.560000002,1
"21","3","RICE","106","OTHER (SPECIFY)","CUP","23",0.560000002,1
"22","3","RICE","106","OTHER (SPECIFY)","BASIN","23",3.460000038,1
"23","3","SORGHUM (MAPIRA)","108","OTHER (SPECIFY)","CUP","23",0.529999971,1
"24","3","PEARL MILLET (MCHEWERE)","109","OTHER (SPECIFY)","CUP","23",0.540000021,1
"25","1","BUNS, SCONES","112","OTHER (SPECIFY)","DOZEN","23",0.839999974,4
"26","3","BUNS, SCONES","112","OTHER (SPECIFY)","DOZEN","23",0.839999974,4
"27","1","WHITE SWEET POTATO","203","OTHER (SPECIFY)","PAIL (SMALL)","23",7.849999905,2
"28","1","WHITE SWEET POTATO","203","OTHER (SPECIFY)","PAIL (MEDIUM)","23",7.849999905,2
"29","1","WHITE SWEET POTATO","203","OTHER (SPECIFY)","HALF PAIL","23",3.924999952,2
"30","1","WHITE SWEET POTATO","203","OTHER (SPECIFY)","PAIL","23",7.849999905,1
"31","1","WHITE SWEET POTATO","203","OTHER (SPECIFY)","5L BUCKET","23",7.849999905,2
"32","1","WHITE SWEET POTATO","203","OTHER (SPECIFY)","PAIL (LARGE)","23",16.30999947,1
"33","2","WHITE SWEET POTATO","203","OTHER (SPECIFY)","GABA PAIL","23",7.849999905,2
"34","2","WHITE SWEET POTATO","203","OTHER (SPECIFY)","PAIL","23",7.849999905,1
"35","3","WHITE SWEET POTATO","203","OTHER (SPECIFY)","PAIL (SMALL)","23",7.849999905,2
"36","3","WHITE SWEET POTATO","203","OTHER (SPECIFY)","PAIL (LARGE)","23",16.30999947,1
"37","3","WHITE SWEET POTATO","203","OTHER (SPECIFY)","5L BUCKET","23",7.849999905,2
"38","2","ORANGE SWEET POTATO","204","OTHER (SPECIFY)","5L BUCKET","23",7.849999905,2
"39","3","ORANGE SWEET POTATO","204","OTHER (SPECIFY)","5L BUCKET","23",7.849999905,2
"40","2","IRISH POTATO","205","OTHER (SPECIFY)","BASIN","23",4.179999828,4
"41","3","IRISH POTATO","205","OTHER (SPECIFY)","PIECE","23",0.129999995,1
"42","3","IRISH POTATO","205","OTHER (SPECIFY)","BASIN","23",4.179999828,4
"43","2","BEAN, WHITE","301","OTHER (SPECIFY)","CUP","23",0.560000002,1
"44","3","BEAN, WHITE","301","OTHER (SPECIFY)","CUP","23",0.560000002,1
"45","1","BEAN, BROWN","302","OTHER (SPECIFY)","CUP","23",0.519999981,4
"46","1","BEAN, BROWN","302","OTHER (SPECIFY)","5L BUCKET","23",5.369999886,1
"47","2","BEAN, BROWN","302","OTHER (SPECIFY)","BASIN","23",4.136000156,1
"48","2","BEAN, BROWN","302","OTHER (SPECIFY)","CUP","23",0.519999981,4
"49","3","BEAN, BROWN","302","OTHER (SPECIFY)","CUP","23",0.519999981,4
"50","3","BEAN, BROWN","302","OTHER (SPECIFY)","5L BUCKET","23",5.369999886,1
"51","3","PIGEON PEA (NANDOLO)","303","OTHER (SPECIFY)","CUP","23",0.5,1
"52","3","PIGEON PEA (NANDOLO)","303","OTHER (SPECIFY)","PAIL (SMALL)","23",5.230000019,1
"53","2","GROUNDNUT FLOUR","305","OTHER (SPECIFY)","CUP","23",0.100000001,4
"54","3","GROUNDNUT FLOUR","305","OTHER (SPECIFY)","CUP","23",0.100000001,4
"55","1","SOYABEAN FLOUR","306","OTHER (SPECIFY)","PIECE","23",0.129999995,4
"56","1","SOYABEAN FLOUR","306","OTHER (SPECIFY)","CUP","23",0.49000001,4
"57","2","SOYABEAN FLOUR","306","OTHER (SPECIFY)","BASIN","23",4.289999962,2
"58","2","SOYABEAN FLOUR","306","OTHER (SPECIFY)","PLATE","23",4.630000114,1
"59","2","SOYABEAN FLOUR","306","OTHER (SPECIFY)","PIECE","23",0.129999995,4
"60","2","SOYABEAN FLOUR","306","OTHER (SPECIFY)","PAIL (UNSPECIFIED)","23",4.630000114,2
"61","2","SOYABEAN FLOUR","306","OTHER (SPECIFY)","5L BUCKET","23",4.630000114,2
"62","3","SOYABEAN FLOUR","306","OTHER (SPECIFY)","5L BUCKET","23",4.630000114,2
"63","3","SOYABEAN FLOUR","306","OTHER (SPECIFY)","PIECE","23",0.129999995,4
"64","3","SOYABEAN FLOUR","306","OTHER (SPECIFY)","CUP","23",0.49000001,4
"65","3","GROUND BEAN (NZAMA)","307","OTHER (SPECIFY)","CUP","23",0.535000026,1
"66","2","COWPEA (KHOBWE)","308","OTHER (SPECIFY)","CUP","23",0.5,4
"67","3","COWPEA (KHOBWE)","308","OTHER (SPECIFY)","PAIL (SMALL)","23",4.840000153,1
"68","3","COWPEA (KHOBWE)","308","OTHER (SPECIFY)","CUP","23",0.5,4
"69","3","MACADEMIA NUTS","309","OTHER (SPECIFY)","PIECE","23",0.129999995,1
"70","1","GROUNDNUT (SHELLED)","311","OTHER (SPECIFY)","CUP","23",0.219999999,4
"71","2","GROUNDNUT (SHELLED)","311","OTHER (SPECIFY)","5L BUCKET","23",4.170000076,2
"72","2","GROUNDNUT (SHELLED)","311","OTHER (SPECIFY)","CUP","23",0.219999999,4
"73","3","GROUNDNUT (SHELLED)","311","OTHER (SPECIFY)","5L BUCKET","23",4.170000076,2
"74","3","GROUNDNUT (SHELLED)","311","OTHER (SPECIFY)","CUP","23",0.219999999,4
"75","1","GROUNDNUT DRIED (UNSHELLED)","312","OTHER (SPECIFY)","CUP","23",0.200000003,4
"76","2","GROUNDNUT DRIED (UNSHELLED)","312","OTHER (SPECIFY)","5L BUCKET","23",1.904999971,1
"77","3","GROUNDNUT DRIED (UNSHELLED)","312","OTHER (SPECIFY)","5L BUCKET","23",1.904999971,1
"78","3","GROUNDNUT DRIED (UNSHELLED)","312","OTHER (SPECIFY)","CUP","23",0.200000003,4
"79","3","GROUNDNUT DRIED (UNSHELLED)","312","OTHER (SPECIFY)","PIECE","23",0.129999995,1
"80","1","GROUNDNUT FRESH (UNSHELLED)","313","OTHER (SPECIFY)","5L BUCKET","23",1.769999981,4
"81","1","GROUNDNUT FRESH (UNSHELLED)","313","OTHER (SPECIFY)","BASIN","23",1.56400001,1
"82","1","GROUNDNUT FRESH (UNSHELLED)","313","OTHER (SPECIFY)","CUP","23",0.200000003,1
"83","3","GROUNDNUT FRESH (UNSHELLED)","313","OTHER (SPECIFY)","5L BUCKET","23",1.769999981,4
"84","1","NKHWANI","404","OTHER (SPECIFY)","BUNDLE","23",0.127000004,2
"85","3","NKHWANI","404","OTHER (SPECIFY)","BUNDLE","23",0.127000004,2
"86","1","TOMATO","408","OTHER (SPECIFY)","PAIL (SMALL)","23",5.300000191,4
"87","1","TOMATO","408","OTHER (SPECIFY)","BASIN","23",9.619999886,4
