"","region","item_name","item_code","unit_name","Otherunit","unit_code","factor","source"
"1","1","MAIZE UFA MGAIWA (NORMAL FLOUR)","101","OTHER (SPECIFY)","BASIN","97",3.400000095,4
"2","2","MAIZE UFA MGAIWA (NORMAL FLOUR)","101","OTHER (SPECIFY)","BASIN","97",3.400000095,4
"3","3","MAIZE UFA MGAIWA (NORMAL FLOUR)","101","OTHER (SPECIFY)","BASIN","97",3.400000095,4
"4","3","MAIZE UFA MGAIWA (NORMAL FLOUR)","101","OTHER (SPECIFY)","CUP","84",0.444999993,1
"5","3","MAIZE UFA MGAIWA (NORMAL FLOUR)","101","OTHER (SPECIFY)","3LITRE BUCKET","82",2.328000069,2
"6","1","MAIZE UFA MGAIWA (NORMAL FLOUR)","101","TINA ","","25",0.323000014,1
"7","2","MAIZE UFA MGAIWA (NORMAL FLOUR)","101","TINA ","","25",0.245000005,1
"8","3","MAIZE UFA MGAIWA (NORMAL FLOUR)","101","TINA ","","25",0.300000012,1
"9","1","MAIZE UFA MGAIWA (NORMAL FLOUR)","101","5 LITRE BUCKET(Chigoba)","","26",3.880000114,2
"10","2","MAIZE UFA MGAIWA (NORMAL FLOUR)","101","5 LITRE BUCKET(Chigoba)","","26",3.880000114,2
"11","3","MAIZE UFA MGAIWA (NORMAL FLOUR)","101","5 LITRE BUCKET(Chigoba)","","26",3.880000114,2
"12","1","MAIZE UFA MGAIWA (NORMAL FLOUR)","101","PAIL","","4",1.933333278,1
"13","2","MAIZE UFA MGAIWA (NORMAL FLOUR)","101","PAIL","","4",5.132249832,1
"14","3","MAIZE UFA MGAIWA (NORMAL FLOUR)","101","PAIL","","4",5.149000168,1
"15","1","MAIZE UFA MGAIWA (NORMAL FLOUR)","101","PAIL SMALL","","4A",3.661499977,1
"16","2","MAIZE UFA MGAIWA (NORMAL FLOUR)","101","PAIL SMALL","","4A",3.940000057,1
"17","3","MAIZE UFA MGAIWA (NORMAL FLOUR)","101","PAIL SMALL","","4A",4,1
"18","1","MAIZE UFA MGAIWA (NORMAL FLOUR)","101","PAIL MEDIUM","","4B",6.360499859,1
"19","2","MAIZE UFA MGAIWA (NORMAL FLOUR)","101","PAIL MEDIUM","","4B",5.985000134,1
"20","3","MAIZE UFA MGAIWA (NORMAL FLOUR)","101","PAIL MEDIUM","","4B",6.616999626,1
"21","1","MAIZE UFA MGAIWA (NORMAL FLOUR)","101","PAIL LARGE","","4C",12.89999962,1
"22","2","MAIZE UFA MGAIWA (NORMAL FLOUR)","101","PAIL LARGE","","4C",12.91499996,1
"23","3","MAIZE UFA MGAIWA (NORMAL FLOUR)","101","PAIL LARGE","","4C",13.5,1
"24","1","MAIZE UFA MGAIWA (NORMAL FLOUR)","101","NO. 10 PLATE ","","6",0.079999998,1
"25","2","MAIZE UFA MGAIWA (NORMAL FLOUR)","101","NO. 10 PLATE ","","6",0.135000005,1
"26","3","MAIZE UFA MGAIWA (NORMAL FLOUR)","101","NO. 10 PLATE ","","6",0.127499998,1
"27","1","MAIZE UFA MGAIWA (NORMAL FLOUR)","101","NO. 12 PLATE ","","7",0.144999996,1
"28","2","MAIZE UFA MGAIWA (NORMAL FLOUR)","101","NO. 12 PLATE ","","7",0.215000004,1
"29","3","MAIZE UFA MGAIWA (NORMAL FLOUR)","101","NO. 12 PLATE ","","7",0.2315,1
"30","1","MAIZE UFA REFINED (FINE FLOUR)","102","OTHER (SPECIFY)","BASIN","97",3.404999971,4
"31","2","MAIZE UFA REFINED (FINE FLOUR)","102","OTHER (SPECIFY)","BASIN","97",3.404999971,4
"32","3","MAIZE UFA REFINED (FINE FLOUR)","102","OTHER (SPECIFY)","PIECE","85",0.129999995,1
"33","3","MAIZE UFA REFINED (FINE FLOUR)","102","OTHER (SPECIFY)","CUP","84",0.49000001,1
"34","3","MAIZE UFA REFINED (FINE FLOUR)","102","OTHER (SPECIFY)","BASIN","97",3.404999971,4
"35","1","MAIZE UFA REFINED (FINE FLOUR)","102","TINA ","","25",0.287999988,1
"36","2","MAIZE UFA REFINED (FINE FLOUR)","102","TINA ","","25",0.217500001,1
"37","3","MAIZE UFA REFINED (FINE FLOUR)","102","TINA ","","25",0.324000001,1
"38","1","MAIZE UFA REFINED (FINE FLOUR)","102","5 LITRE BUCKET(Chigoba)","","26",3.065999985,4
"39","2","MAIZE UFA REFINED (FINE FLOUR)","102","5 LITRE BUCKET(Chigoba)","","26",3.065999985,4
